Autoria;Localização de onde foi publicada a obra referenciada;Data de publicação da obra referenciada;Língua da publicação - tradução;Localização da autoria original;Referência completa como consta no artigo;;;;;;;;;;;;;;;;;;;;;
POLY, J. P.;França;1976;Francês;França;POLY, J. P. La Provence et la société féodale, 879-1166. Paris, 1976, p.159.;;;;;;;;;;;;;;;;;;;;;
TOUBERT, P.;Itália;1973;Francês;Itália;TOUBERT, P. Les structures du Latium médiéval: le Latium méridional et la Sabine, du IXe siècle à la fin du XIIe siècle. Roma, 1973, p.753;;;;;;;;;;;;;;;;;;;;;
BARREIRA, Cecília;Portugal;1994;Português;Portugal;BARREIRA, Cecília. História das nossas avós: retrato da burguesia em Lisboa. 2ª ed. Lisboa, Colibri, 1994, pp.158-9. Coleção Sociedade e Quotidiano.;;;;;;;;;;;;;;;;;;;;;
BITTENCOURT, Anna Ribeiro de Goes;Brasil;1906;Português;Brasil;BITTENCOURT, Anna Ribeiro de Goes. Letícia. Romance original, Salvador, Tipografia e Encadernação Reis, 1906, p.5.;;;;;;;;;;;;;;;;;;;;;
BITTENCOURT, Anna Ribeiro de Goes;Brasil;1992;Português;Brasil;BITTENCOURT, Anna Ribeiro de Goes. Longos serões do campo. Rio de Janeiro, Nova Fronteira, 1992, vol. 1, p.10.;;;;;;;;;;;;;;;;;;;;;
BITTENCOURT, Anna Ribeiro de Goes;Brasil;1911;Português;Brasil;BITTENCOURT, Anna Ribeiro de Goes. O feminismo. A Paladina, Bahia, Tipografia Beneditina, nº 7, jul. 1911, p.3.;;;;;;;;;;;;;;;;;;;;;
CASTRO, Dinorah;Brasil;1996;Português;Brasil;CASTRO, Dinorah. A mulher submissa. Teses da Faculdade de Medicina da Bahia no século XIX. Salvador, Press Color, 1996, 220p.;;;;;;;;;;;;;;;;;;;;;
DUBY, Georges e PERROT, Michelle;Portugal;1991;Português (tradução FR>PT);França;DUBY, Georges e PERROT, Michelle. História das mulheres no Ocidente. In: FRAISSE, Geneviève, PERROT, Michelle (dir.) O século XIX. Porto, Afrontamento, 1991, p.216. Tradução: Claúdia Gonçalves e Egito Gonçalves.;;;;;;;;;;;;;;;;;;;;;
FLAX, Jane;Brasil;1991;Português;Brasil;FLAX, Jane. PósModernismo e relações de gênero na teoria feminista. Tradução: Carlos A. de C. Moreno. In: HOLLANDA, Heloísa Buarque. (org.) Pós-Modernismo e política. 2ª ed. Rio de Janeiro, Rocco, 1991, p.229.;;;;;;;;;;;;;;;;;;;;;
FREYRE, Gilberto;Brasil;1936;Português;Brasil;FREYRE, Gilberto. Sobrados e Mocambos: decadência do patriarcado rural no Brasil. São Paulo, Nacional, 1936, p.154, ed. ilustrada. Biblioteca Pedagógica Brasileira, vol. 64.;;;;;;;;;;;;;;;;;;;;;
HUTCHEON, Linda;Brasil;1995;Português (tradução EN>PT);Canadá;HUTCHEON, Linda. O sujeito na/da/para a história e sua estória. In: Poética do PósModernismo. Rio de Janeiro, Bertrand do Brasil, 1995, p.219.;;;;;;;;;;;;;;;;;;;;;
LEMAIRE, Ria;Brasil;1990;Português;Brasil;LEMAIRE, Ria. As cantigas que a gente canta, os amores que a gente quer: o papel da mulher na passagem da tradição oral à escrita. Boletim do GT da ANPOLL – A Mulher na Literatura, Belo Horizonte, UFMG, nº 3, 1990, pp.13-33.;;;;;;;;;;;;;;;;;;;;;
MATTOSO, Kátia Queirós (org.);França;1992;Francês;França;MATTOSO, Kátia Queirós. (org.) Anna Ribeiro de Goes Bittencourt, Longos serões do campo. Cahiers du Brésil Contemporaine: da la Vieille République à L’Etat Nouveau, Paris, nº 19, set. 1992, pp.109- 114.;;;;;;;;;;;;;;;;;;;;;
MIRANDA, Wander Melo;Brasil;1992;Português;Brasil;"MIRANDA, Wander Melo. Corpos escritos; Graciliano Ramos e Silviano Santiago. São Paulo/Belo Horizonte, Editora da Universidade de São Paulo/Editora da Universidade Federal de Minas Gerais, 1992, pp.17-41.";;;;;;;;;;;;;;;;;;;;;
MUZART, Zahidé L.;Brasil;1994;Português;Brasil;MUZART, Zahidé L. Artimanhas nas entrelinhas: leitura do paratexto das escritoras do século XIX. In: FUNCK, Susana B. (org.) Trocando idéias sobre a mulher e a literatura. Florianópolis, UFSC, 1994, pp.261-269.;;;;;;;;;;;;;;;;;;;;;
PAIVA, Aparecida;Brasil;1997;Português;Brasil;PAIVA, Aparecida. A voz do veto: a censura católica à leitura dos romances. Belo Horizonte, Autêntica, 1997, 190p.;;;;;;;;;;;;;;;;;;;;;
PEDRO, Joana Maria;Brasil;1994;Português;Brasil;"PEDRO, Joana Maria. Mulheres – século XIX. In: Seminários de Estudos sobre a mulher, 30 de novembro a 2 de dezembro de 1994, Florianópolis; Anais... Fazendo Gênero. Ponta Grossa, Centro de Publicações da Universidade Estadual de Ponta Grossa, pp.73-76.";;;;;;;;;;;;;;;;;;;;;
REIS, Lívia de Freitas;Brasil;1996;Português;Brasil;REIS, Lívia de Freitas. Autobiografia, testemunho e ficção: uma relação delicada. Boletim do GT da ANPOLL – A Mulher na Literatura, Rio Grande do Norte, ANPOLL, João Pessoa, nº 6, jun. 1996, pp.173-185.;;;;;;;;;;;;;;;;;;;;;
REIS, Roberto;Brasil;1992;Português;Brasil;"REIS, Roberto. Cânon. In: JOBIM, José Luís. (org.) Palavras da crítica; tendências e conceitos no estudo da literatura. Rio de Janeiro, Imago, 1992, pp.65-92.";;;;;;;;;;;;;;;;;;;;;
ROCHA, Carlos Eduardo da;Brasil;1991;Português;Brasil;ROCHA, Carlos Eduardo da. Anna Ribeiro de Goes Bittencourt, a primeira romancista baiana. Revista da Academia de Letras da Bahia, Salvador, nº 37, mar. 1991, pp.63-77.;;;;;;;;;;;;;;;;;;;;;
STEPHAN, Beatriz González;América Latina;1991;Português;América Latina;STEPHAN, Beatriz González. Culturas subalternas: crítica literaria no-androcéntrica. Iberoamericana, nºs 2/3, 1991, pp.93-107.;;;;;;;;;;;;;;;;;;;;;
STEPHAN, Beatriz González;América Latina;1991;Português;América Latina;STEPHAN, Beatriz González. Culturas subalternas: crítica literária noandrocentrica. Iberoamericana, nº 15, 1991, pp.98-99.;;;;;;;;;;;;;;;;;;;;;
TRINDADE, Mauro;Brasil;1992;Português;Brasil;TRINDADE, Mauro. Raro tesouro da província. Jornal do Brasil, 19 set. 1992.;;;;;;;;;;;;;;;;;;;;;
BOCK, Gisella;Inglaterra;1991;Inglês;Inglaterra;"BOCK, Gisella. Challenging dichotomies. Perspectives in women’s history. In: OFFEN, Karen; PIERSON, Ruth Roach e RENDALL, Jane. Writing women’s history. International perspectives. Londres, Macmillan, 1991.";;;;;;;;;;;;;;;;;;;;;
CASSIRER, Ernst;EUA;1963;Inglês;EUA;CASSIRER, Ernst. The myth of the State. Yale University Press, 1963, pp.56-57.;;;;;;;;;;;;;;;;;;;;;
FRAISSE, Geneviève;França;1996;Francês;França;FRAISSE, Geneviève. La différence des sexes. Paris, PUF, 1996, p.46;;;;;;;;;;;;;;;;;;;;;
IRIGARAY, Luce;França;1987;Francês;França;IRIGARAY, Luce. Les temps de la différence. Paris, Livre de Poche, 1987, pp.70-71.;;;;;;;;;;;;;;;;;;;;;
LORAUX, Nicole;França;1988;Francês;França;LORAUX, Nicole. Notes sur un impossible sujet d’histoire. Les Cahiers du GRIF, consagrado ao “Genre de l’Histoire”, 37/38 (1988), p.117;;;;;;;;;;;;;;;;;;;;;
THÉBAUD, Françoise;França;1994;Francês;França;THÉBAUD, Françoise. Écrire l’histoire des femmes. Bilan critique et perspectives. Memória apresentada para obtenção do diploma de habilitação para dirigir pesquisas. Universidade de Lyon 2, 1994, p.74.;;;;;;;;;;;;;;;;;;;;;
VARIKAS, Eleni;França;1985;Francês;França;VARIKAS, Eleni. Les femmes grecques face à la modernisation institutionelle: un féminisme difficile. Les Temps Modernes, nº 475, 1985.;;;;;;;;;;;;;;;;;;;;;
ALBERT-HESSE, Jane;França;1949;Francês;França;ALBERT-HESSE, Jane. Esclave, victime, complice? C’est toute la condition de La femme que traite Simone de Beauvoir avec Le Deuxième Sexe. Franc Tireur, 3 de novembro de 1949.;;;;;;;;;;;;;;;;;;;;;
AUDRY, Colette;França;1949;Francês;França;AUDRY, Colette. Le Deuxième Sexe et la Presse. Livre très lu, mal lu et mal compris. Combat, 22 de dezembro de 1949.;;;;;;;;;;;;;;;;;;;;;
AURY, Dominique;França;1950;Francês;França;AURY, Dominique. Le Visage de Méduse. Contemporains, n° 2, dezembro, 1950, pp.188-195.;;;;;;;;;;;;;;;;;;;;;
BARRON, Marie-Louise;França;1949;Francês;França;BARRON, Marie-Louise. De Simone de Beauvoir à Amour Digest. Les croisés de l’emancipation par le sexe. Les Lettres Françaises, 23 de junho de 1949.;;;;;;;;;;;;;;;;;;;;;
BEAUVOIR, Simone de;França;1963;Francês;França;BEAUVOIR, Simone de. La Force des choses. Paris, Gallimard, 1963, p.260.;;;;;;;;;;;;;;;;;;;;;
BENDA, Julien;França;1949;Francês;França;BENDA, Julien. Situation de la femme. La Nef, n° 49-50/60-61, dezembro 1949/janeiro 1950.;;;;;;;;;;;;;;;;;;;;;
BERIS, Francine;França;sd;Francês;França;BERIS, Francine. Simone de Beauvoir et Le Deuxième Sexe”. La Nef. Op. cit, pp.92-94.;;;;;;;;;;;;;;;;;;;;;
BOISDEFFRE, Pierre de;França;1949;Francês;França;BOISDEFFRE, Pierre de. Témoignages en marge d’une enquête. Liberté de l’Esprit, n° 6, junho 1949.;;;;;;;;;;;;;;;;;;;;;
BOSCHETTI, Anna;França;1985;Francês;França;BOSCHETTI, Anna. Sartre et Les Temps Modernes. Paris, Minuit, 1985.;;;;;;;;;;;;;;;;;;;;;
CHAPERON, Sylvie;França;1997;Francês;França;CHAPERON, Sylvie. La deuxième Simone de Beauvoir. Les Temps Modernes, n°593, abril-maio 1997, pp.112-143.;;;;;;;;;;;;;;;;;;;;;
D’Eaubone, Françoise;França;1951;Francês;França;D'Eaubone, Françoise. Le complexe de Diane. Paris: Julliard, 1951.;;;;;;;;;;;;;;;;;;;;;
DELMAS, Claude;França;1949;Francês;França;DELMAS, Claude. La jeunesse française en face de la vie, autour de Saint-Germain-des-Prés. L’Epoque, 10 de julho de 1949.;;;;;;;;;;;;;;;;;;;;;
FLORENNE, Yves;França;1950;Francês;França;FLORENNE, Yves. Création de la femme. Le Monde, 14 de janeiro de 1950.;;;;;;;;;;;;;;;;;;;;;
FLORENNE, Yves;França;1949;Francês;França;FLORENNE, Yves. Tentations et limites de l’ésprit encyclopédique. Le Monde, 14 de setembro de 1949.;;;;;;;;;;;;;;;;;;;;;
HOOG, Armand;França;1949;Francês;França;HOOG, Armand. Madame de Beauvoir et son sexe. La Nef, n° 56, agosto, 1949.;;;;;;;;;;;;;;;;;;;;;
KANAPA, Jean;França;1949;Francês;França;KANAPA, Jean. À propos d’une enquête sur l’abjection, les communistes ont um plan, réponse à M. Pierre Néraud de Boisdeffre. La Nouvelle Critique, n° 8, julho-agosto, 1949.;;;;;;;;;;;;;;;;;;;;;
KEMP, Robert;França;1949;Francês;França;KEMP, Robert. Les évadés de l’existentialisme. Les Nouvelles Littéraires, 4 de agosto de 1949.;;;;;;;;;;;;;;;;;;;;;
LOEWEL, Pierre;França;1949;Francês;França;LOEWEL, Pierre. Le Deuxième Sexe, ou le traité des femmes. Aurore, 10 de novembro de 1949.;;;;;;;;;;;;;;;;;;;;;
MAURIAC, François;França;1949;Francês;França;MAURIAC, François. Demande d’enquête. Le Figaro, 30 de maio de 1949.;;;;;;;;;;;;;;;;;;;;;
NADEAU, Maurice;França;1949;Francês;França;NADEAU, Maurice. Le Deuxième Sexe. Mercure de France, novembro, 1949, pp.497-501.;;;;;;;;;;;;;;;;;;;;;
PIERHAL, Armand;França;1949;Francês;França;PIERHAL, Armand. Littérateurs et philosophes. La Croix, 27-28, novembro, 1949.;;;;;;;;;;;;;;;;;;;;;
PRENANT, Jeannette;França;1951;Francês;França;PRENANT, Jeannette. Les trois “K” de la démocracie occidentale. À propos de Simone de Beauvoir et de quelques autres. Nouvelle Critique, n° 25, abril 1951, pp.32-44.;;;;;;;;;;;;;;;;;;;;;
RICHARD-MOLARD;França;1950;Francês;França;RICHARD-MOLARD. Le Deuxième Sexe. Jeunes Femmes, n° 2, janeiro de 1950.;;;;;;;;;;;;;;;;;;;;;
ROUSSEAU, André;França;1949;Francês;França;ROUSSEAU, André. Le Deuxième Sexe. Le Figaro Littéraire, 12 de novembro de 1949.;;;;;;;;;;;;;;;;;;;;;
TOESCA, Maurice;França;1949;Francês;França;TOESCA, Maurice. La question des femmes. Mulhouse, Paris, Lausanne, Bader Dufour, 1949, 236 p.;;;;;;;;;;;;;;;;;;;;;
BEAUVOIR, Simone;França;1958;Francês;França;BEAUVOIR, Simone. Mémoires d'une Jeune Fille rangée. Gallimard, 1958.;;;;;;;;;;;;;;;;;;;;;
PERRONI, Maria Cecília;Brasil ;1991;Português;Brasil;PERRONI, Maria Cecília. Diferenças individuais em aquisição de linguagem: um estudo sobre gêmeos. Anais do Segundo ENAL, Porto Alegre, PUC-RS, 1991, pp.205-211.;;;;;;;;;;;;;;;;;;;;;
BAIR, Deirdre;França ;1997;Francês (tradução EN>FR);EUA;BAIR, Deirdre. Simone de Beauvoir. traduzido do inglês por Marie-France Paloméra, Paris, Fayard, 1997, pp.470 e 471.;;;;;;;;;;;;;;;;;;;;;
BEAUVOIR, Simone;França ;1990;Francês;França;BEAUVOIR, Simone. Journal de Guerre – septembre 1939/janvier 1941. Paris, Gallimard, 1990. O testemunho de Sartre está em seu livro Les Carnets de la drôle de Guerre – Nov. 1939 – Março 1940. Paris, Gallimard, 1983.;;;;;;;;;;;;;;;;;;;;;
BEAUVOIR, Simone;França ;sd;Francês;França;BEAUVOIR, Simone. La pensée de droite, aujourd’hui. Privilèges, op.cit., pp.91-200.;;;;;;;;;;;;;;;;;;;;;
BEAUVOIR, Simone;França ;1990;Francês;França;BEAUVOIR, Simone. Lettres à Sartre – vol 1. 1930-1939 e vol. 2. 1940-1963. Paris, Gallimard, 1990.;;;;;;;;;;;;;;;;;;;;;
BOSCHETTI, Anna;França ;1985;Francês;França;BOSCHETTI, Anna. Sartre et le Temps Modernes. Paris, Editions de Minuit, 1985, p.240.;;;;;;;;;;;;;;;;;;;;;
COHEN-SOLAL, Annie;França ;1986;Francês;França;COHEN-SOLAL, Annie. Sartre. Paris, Gallimard, 1986, 728 p.;;;;;;;;;;;;;;;;;;;;;
MERLEAU-PONTY, Maurice;França ;1955;Francês;França;MERLEAU-PONTY, Maurice. Les aventures de la dialectique. Paris, Gallimard (idées), 1955. Ver especialmente o capítulo 5, “Sartre et l’ultra bolchevisme” (pp.142-295);;;;;;;;;;;;;;;;;;;;;
OZOUF, Mona;França ;1999;Francês;França;OZOUF, Mona. Les mots des femmes – essai sur la singularité françaises, (édition augmentée d’une posface). Paris, Gallimard (coll. Tel), 1999, p.319.;;;;;;;;;;;;;;;;;;;;;
SARTRE, Jean Paul;Brasil;1960;Português (tradução FR>PT);França;SARTRE, Jean Paul. Furacão sobre Cuba (e depoimentos de Rubem Braga e Fernando Sabino). Rio de Janeiro, s/d (mas seguramente 1960), Editora do Autor, 223 p.;;;;;;;;;;;;;;;;;;;;;
BEAUVOIR, Simone de;Brasil;1965;Português (tradução FR>PT);França;BEAUVOIR, Simone de. Sob o Signo da História. São Paulo, Difusão Européia do Livro, 1965, p.280.;;;;;;;;;;;;;;;;;;;;;
FRANCIS, Claude e GONTIER, Fernande;França;sd;Francês;França;FRANCIS, Claude e GONTIER, Fernande. Simone de Beauvoir. Op.cit., pp.342-352.;;;;;;;;;;;;;;;;;;;;;
BEAUVOIR, Simone de;Espanha ;1990; Espanhol (tradução FR>ES);França;BEAUVOIR, Simone de. Diario de Guerra. Barcelona, Edhasa, 1990, p.64.;;;;;;;;;;;;;;;;;;;;;
BEAUVOIR, Simone de;França;1960;Francês;França;BEAUVOIR, Simone de. La force de l´âge. Paris, Gallimard, 1960.;;;;;;;;;;;;;;;;;;;;;
BEAUVOIR, Simone de;Brasil ;1975;Português (tradução FR>PT);França;BEAUVOIR, Simone de. O Segundo Sexo. São Paulo, Difel, 1975, vol.2, p.464.;;;;;;;;;;;;;;;;;;;;;
LAMBLIN, Bianca;Brasil ;1995;Português (tradução FR>PT);França;LAMBLIN, Bianca. Memórias de uma moça mal comportada. Rio de Janeiro, Record, 1995.;;;;;;;;;;;;;;;;;;;;;
AZERÊDO, Sandra;EUA;1999;Inglês;EUA;AZERÊDO, Sandra. Unlearning Privileges: feminist research action in the prostitution zone of Belo Horizonte. Dispositio/n XXI.48, 1999.;;;;;;;;;;;;;;;;;;;;;
BEAUVOIR, Simone de;Brasil ;1970;Português (tradução FR>PT);França;"BEAUVOIR, Simone de. O Segundo Sexo: 1. Fatos e Mitos. São Paulo, Difel, 1970, 4 edição; e O Segundo Sexo: 2. A Experiência Vivida.";;;;;;;;;;;;;;;;;;;;;
BEAUVOIR, Simone de;Brasil;1975;Português (tradução FR>PT);França;BEAUVOIR, Simone de. O Segundo Sexo: 2. A Experiência Vivida. São Paulo, Rio de Janeiro, Difel, 1975, 3 edição, p.478. (Tradução: Sérgio Milliet.);;;;;;;;;;;;;;;;;;;;;
BRUSCHINI, Cristina et alii;Brasil;1998;Português;Brasil;BRUSCHINI, Cristina et alii. Tesauro para Estudos de Gênero e sobre Mulheres. São Paulo, FCC/Ed. 34, 1998.;;;;;;;;;;;;;;;;;;;;;
BUTLER, Judith;EUA e Inglaterra;1990;Inglês;EUA e Inglaterra;BUTLER, Judith. Gender Trouble: Feminism and the Subversion of Identity. New York, London, Routledge, 1990.;;;;;;;;;;;;;;;;;;;;;
CHODOROW, Nancy;EUA;1978;Inglês;EUA;CHODOROW, Nancy The Reproduction of Mothering: Psychoanalysis and the Sociology of Gender. Berkeley, University of California Press, 1978.;;;;;;;;;;;;;;;;;;;;;
DE LAURETIS, Teresa;Brasil;1994;Português (tradução EN>PT);EUA;DE LAURETIS, Teresa. Tecnologias de Gênero. In: BUARQUE DE HOLLANDA, Heloisa. (org.) Tendências e Impasses: o feminismo como crítica da cultura. Rio de Janeiro, Rocco, 1994.;;;;;;;;;;;;;;;;;;;;;
ECO, Umberto;Brasil;1983;Português (tradução IT>PT);Itália;ECO, Umberto. 1983. O Nome da Rosa . Rio de Janeiro, Editora Nova Fronteira, 1983.;;;;;;;;;;;;;;;;;;;;;
FREIRE, Paulo;Brasil ;1983;Português;Brasil;FREIRE, Paulo. Educação como Prática da Liberdade. Rio de Janeiro, Paz e Terra, 1983, 17 edição;;;;;;;;;;;;;;;;;;;;;
FREUD, Sigmund;Brasil;1997;Português (tradução DE>PT);Áustria;FREUD, Sigmund. O Mal Estar da Civilização. Rio de Janeiro, Imago, 1997. (Tradução: José Octávio de Aguiar Abreu);;;;;;;;;;;;;;;;;;;;;
HARAWAY, Donna;EUA e Inglaterra;1997;Inglês;EUA e Inglaterra;HARAWAY, Donna. Modest_Witness@Second Millenium. FemaleMan© Meets_ OncoMouse™: Feminism and Technoscience. New York, London, Routledge, 1997.;;;;;;;;;;;;;;;;;;;;;
HARAWAY, Donna;Brasil ;1994;Português (tradução EN>PT);EUA;HARAWAY, Donna. Um manifesto para os cyborgs: ciência e feminismo socialista na década de 80. In: BUARQUE DE HOLLANDA, Heloisa. (org.) Tendências e Impasses: o feminismo como crítica da cultura. Rio de Janeiro, Rocco, 1994.;;;;;;;;;;;;;;;;;;;;;
IRIGARAY, Luce;EUA e Inglaterra;1993;Inglês (tradução FR>EN);França;IRIGARAY, Luce. Je, tu, nous Toward a Culture of Difference. New York, London, Routledge, 1993, p.10. (Tradução: Alison Martin);;;;;;;;;;;;;;;;;;;;;
MINH-HA, Trinh;EUA;1989;Inglês;EUA;MINH-HA, Trinh. Woman, Native, Other: Writing Postcoloniality and Feminism. Bloomington and Indianapolis, Indiana University Press, 1989.;;;;;;;;;;;;;;;;;;;;;
OLIVEIRA, Fátima;Brasil ;1999;Português;Brasil;OLIVEIRA, Fátima. Conflito Milenar. O Tempo, Belo Horizonte, 07-03-99, p.9.;;;;;;;;;;;;;;;;;;;;;
PICHON-RIVIÈRE, Enrique;Brasil;1994;Português (tradução ES>PT);Argentina;PICHON-RIVIÈRE, Enrique. O Processo Grupal. São Paulo, Martins Fontes, 1994.;;;;;;;;;;;;;;;;;;;;;
SANTOS, Boaventura de Sousa;Portugal;1996;Português;Portugal;SANTOS, Boaventura de Sousa. Um Discurso sobre as Ciências. Porto, Ed. Afrontamento, 8 edição, 1996.;;;;;;;;;;;;;;;;;;;;;
SPINK, Mary Jane;Brasil ;1994;Português;Brasil;SPINK, Mary Jane. (org.) A Cidadania em Construção: Uma reflexão transdisciplinar. São Paulo, Cortez Editora, 1994.;;;;;;;;;;;;;;;;;;;;;
SPIVAK, Gayatri;EUA;1988;Inglês;EUA;SPIVAK, Gayatri Can the Subaltern Speak? In: Marxism and the Interpretation of Culture. Urbana, University of Illinois Press, 1988.;;;;;;;;;;;;;;;;;;;;;
ZYGMUNT, Bauman;Brasil ;1998;Português (tradução EN>PT);Áustria;ZYGMUNT, Bauman. O Mal-Estar da Pós-Modernidade. Rio de Janeiro, Jorge Zahar, 1998. (Tradução: Mauro Gama e Cláudia Martinelli Gama);;;;;;;;;;;;;;;;;;;;;
AGUIAR, Neuma;Brasil ;1997;Português;Brasil;AGUIAR, Neuma. Relações de Gênero: Universais e Particulares. Revista Teoria & Sociedade, Departamentos de Ciência Política e de Sociologia e Antropologia da UFMG, dezembro de 1997, p.112.;;;;;;;;;;;;;;;;;;;;;
ALMEIDA, Marlise Míriam de Matos;Brasil;1998;Português;Brasil;ALMEIDA, Marlise Míriam de Matos. Reinvenções dos vínculos amorosos: cultura e identidade de gênero na modernidade tardia. Tese de Doutorado em Sociologia, IUPERJ, 1998, apêndice 2: Relações de gênero e psicanálise: teoria psicanalítica, feminismo e outras possibilidades de articulações teóricas psicanalíticas de gênero – uma revisão.;;;;;;;;;;;;;;;;;;;;;
BEAUVOIR, Simone de;Brasil ;1980 (original de 1949);Francês;França;BEAUVOIR, Simone de. O Segundo Sexo. Rio de Janeiro, Nova Fronteira, [1949] 1980, p.9. (negritos meus);;;;;;;;;;;;;;;;;;;;;
BUTLER, Judith;Brasil;1987;Inglês;EUA;BUTLER, Judith. Variações sobre Sexo e Gênero – Beauvoir, Wittig e Foucault. In: BENHABIB, Seyla & CORNELL, Drucilla. Feminismo como Crítica da Modernidade Rio de Janeiro, Ed. Rosa dos Tempos, 1987, p.139;;;;;;;;;;;;;;;;;;;;;
CHODOROW, Nancy;EUA e Inglaterra;1989;Inglês;EUA e Inglaterra;CHODOROW, Nancy. Feminism and Psychoanalytic Theory. New Havem e London, Yale University Press, 1989.;;;;;;;;;;;;;;;;;;;;;
CHODOROW, Nancy;Brasil;1978;Inglês;EUA;CHODOROW, Nancy. Psicanálise da Maternidade: uma crítica a Freud a partir da mulher. Rio de Janeiro, Ed. Rosa dos Tempos, 1978;;;;;;;;;;;;;;;;;;;;;
DINNERSTEIN, Dorothy;França;1976;Inglês;França;"DINNERSTEIN, Dorothy. The Mermaid and the Minotaur. Paris, Editions de Minuit, 1976; A Obra do Berço, 1978.";;;;;;;;;;;;;;;;;;;;;
IRIGARAY, Luce;França ;1977;Francês;França;IRIGARAY, Luce. Ce Sexe N’en Est Pas Un. Paris, Les Éditions de Minuit, 1977;;;;;;;;;;;;;;;;;;;;;
IRIGARAY, Luce;França;1984;Francês;França;IRIGARAY, Luce. L’Étique de La Différence Sexuelle. Paris, Les Éditions de Minuit, 1984.;;;;;;;;;;;;;;;;;;;;;
IRIGARAY, Luce;França ;1974;Francês;França;IRIGARAY, Luce. Speculum, De L’autre Femme. Paris, Les Éditions de Minuit,1974;;;;;;;;;;;;;;;;;;;;;
MONEY, J.;EUA;1973;Inglês;EUA;MONEY, J. Gender Role, Gender Identity, Core Gender Identity: usage and definitions of terms. Journal of the American Academy of Psychoanalysis, vol. 1, nº 4, [1955] 1973.;;;;;;;;;;;;;;;;;;;;;
MITCHELL, J.;Brasil ;1988;Inglês;Inglaterra;MITCHELL, J. Psicanálise da Sexualidade Feminina. Rio de Janeiro, Ed. Campus, 1988.;;;;;;;;;;;;;;;;;;;;;
MITCHELL, J.;Inglaterra;1975;Inglês;Inglaterra;MITCHELL, J. Psychoanalysis and Feminism. Harmondsworth, Penguim Books, 1975;;;;;;;;;;;;;;;;;;;;;
MITCHELL, J.;EUA;1984;Inglês;EUA;MITCHELL, J. Women: the longest Revolution on Feminism, Literature and Psychoanalysis. New York, Pantheon, 1984;;;;;;;;;;;;;;;;;;;;;
MONTRELAY, M.;França;1977;Francês ;França;MONTRELAY, M. L’ Ombre et le Nom. Paris, Les Éditions de Minuit, 1977.;;;;;;;;;;;;;;;;;;;;;
ROSALDO, M. & LAMPHERE, L.;EUA;1974;Inglês;EUA;ROSALDO, M. & LAMPHERE, L (eds.) Woman, Culture and Society. StanfordStanford University Press, 1974;;;;;;;;;;;;;;;;;;;;;
RUBIN, Gayle;EUA;1975;Inglês;EUA;RUBIN, Gayle. The Traffic in Women. In: REITER, R. (ed.) Toward na Anthropology of Women. Nova York, Monthly Review Press, 1975.;;;;;;;;;;;;;;;;;;;;;
SANTOS, Boaventura de Sousa;Brasil ;1995;Português;Portugal;SANTOS, Boaventura de Sousa. Pela Mão de Alice: o social e o político na pós- modernidade. São Paulo, Ed. Cortez, 1995, p.276.;;;;;;;;;;;;;;;;;;;;;
SCOTT, Joan;EUA;1989;Inglês;EUA;SCOTT, Joan. Gender: Useful Category of Historical Analysis. American Historical Review, 91, December, 1989.;;;;;;;;;;;;;;;;;;;;;
STOLLER, R. J.;EUA;1968;Inglês;EUA;STOLLER, R. J. Sex and Gender. Science House, vol.1, New York, 1968.;;;;;;;;;;;;;;;;;;;;;
AUFFRET, Sévérine;França ;1987;Francês ;França;AUFFRET, Sévérine. Mélanippe la Philosophe. Trilogie. Des Femmes, 1987, p.61.;;;;;;;;;;;;;;;;;;;;;
BEAUVOIR, Simone de;França ;1999 (original 1949);Francês ;França;BEAUVOIR, Simone de. [1949] Le Deuxième Sexe II. Gallimard, Folio-essais, 1999, p.641.;;;;;;;;;;;;;;;;;;;;;
CHAPERON, Sylvie;França ;1997;Francês ;França;CHAPERON, Sylvie. La deuxième Simone de Beauvoir. Questions actuelles au féminisme, Les Temps Modernes, Avril-Mai 1997, nº 593, pp.112.;;;;;;;;;;;;;;;;;;;;;
CIXOUS, Hélène e CLÉMENT, Catherine;França;1975;Francês ;França;CIXOUS, Hélène e CLÉMENT, Catherine. La jeune Née, 10/18, Paris, UGE, 1975;;;;;;;;;;;;;;;;;;;;;
COLLIN, Françoise;Bélgica;1991;Francês ;França;COLLIN, Françoise. Du privé et du public. Hannah Arendt, Les Cahiers du Grif, nº 33, 1991, pp.56-57.;;;;;;;;;;;;;;;;;;;;;
COLLIN, Françoise;Espanha;1995; Espanhol (tradução FR>ES);França;COLLIN, Françoise. Historia y memoria o la marca y la huella. In: BIRULÉS, Fina. (ed.) El género de la memoria. Pamiela, 1995, pp.168-169.;;;;;;;;;;;;;;;;;;;;;
COLLIN, Françoise;França ;1999;Francês ;França;Collin, Françoise. Je partirais d’un mot. Le champ symbolique. Fus Art, 1999, p.91.;;;;;;;;;;;;;;;;;;;;;
COLLIN, Françoise;Itália;1997; Italiano (tradução FR>IT) ;Itália;COLLIN, Françoise. L’oblio di una vecchia questione filosofica. In: COLLIN, F. et FORCINA, Marisa. La differenza dei sessi nelle filosofia, nodi teorici e problemi politici. Millela, 1997, p.25.;;;;;;;;;;;;;;;;;;;;;
