Autoria;Localização de onde foi publicada a obra referenciada;Data de publicação da obra referenciada;Língua da publicação - tradução;Localização da autoria original;Referência completa como consta no artigo;;;;;;;;;;;;;;;;;;;;;
GOMES, Ângela de Castro;Brasil;1988;Português;Brasil;Ângela de Castro Gomes no livro que ela coordena Velhos militantes. Depoimentos. Rio, Zahar, 1988, p. 9.;;;;;;;;;;;;;;;;;;;;;
ABRAHAMS, Roger D.;EUA;1986;Inglês;EUA;"Abrahams, Roger D.. ""Ordinary and extraordinary Experieoce"" In: Turner, Victor and Bruoer, Edward ed. The Anthropology of Experience. Chicago. University of Illinois Press, 1986, p. 55.";;;;;;;;;;;;;;;;;;;;;
BOAS, Franz de;EUA;1984;Inglês;EUA;De Boas: “Recent Anthropology”, Science, n. 98, 1943. In Mintz, S: “Encontrando Taso, me descobrindo” in: Dados, Revista de Ciência Sociais, vol. 27, n. 1, 1984, p. 45-59;;;;;;;;;;;;;;;;;;;;;
GEIGER, Susan N. G.;EUA;1986;Inglês;EUA;Geiger, Susan N. G.. “Women’s life histories. Method and content” In: Signs. A Journal of Women in Culture and Society. v. 11 n.o.2. winter, 1986, p.335-351.;;;;;;;;;;;;;;;;;;;;;
LANGNESS, L.;Argentina;1974;Espanhol;EUA;Langness, L: “Usos potenciales de Ia historia de vida en antropologia” in Balan, Jorge: Las historias de vida en ciencias sociales, teoria y técnica. Buenos Aires, Nueva Visión, 1974, p. 153-175.;;;;;;;;;;;;;;;;;;;;;
MINTZ, Sidney;Brasil;1984;Português (tradução EN>PT);EUA;Mintz, S: “Encontrando Taso: me Descobrindo” ln: Dados, Revista de Ciências Sociais, vol. 27, no 1, 1984, p.45-59.;;;;;;;;;;;;;;;;;;;;;
MORIN, Françoise;França;1980;Francês;França;Morin, Françoise. “Pratiques Anthropologiques et histoire de vie” In: Bertaux, DanieI. Cahiers Internationaux de Sociologie. v. LXVX, juillet-décembre, 1980, p. 55.;;;;;;;;;;;;;;;;;;;;;
STRATHERN, Marilyn;EUA;1988;Inglês ;País de Gales;Strathern, Marilyn: The Gender of the Gift. University of California Press, Berkeley, 1988.;;;;;;;;;;;;;;;;;;;;;
THOMPSON, Paul;Inglaterra;1978;Inglês;Inglaterra;Thompson, Paul: The voice of the past. Oral history. Oxford, Oxford University Press, 1978.;;;;;;;;;;;;;;;;;;;;;
VAN DE CASTEELE-SCHWEITZER, Sylvie e VOLDMAN, Danièle;França;1984; Francês ;França;Van de Casteele Schweitzer, Sylvie e Voldman, Daniele: “Les Sources Orales pour I ‘Histoire des Femmes” in Perrot, M: Une Histoire des Femmes, est-elle possible’? Rivages, Paris, 1984, p 61-70.;;;;;;;;;;;;;;;;;;;;;
VANSINA, Jan;EUA;1985;Inglês;Bélgica;Vansina, Jan: Oral tradition as history. Wisconsin, The University of Wisconsin Press, 1985.;;;;;;;;;;;;;;;;;;;;;
