ANO,Nº,TIPO,AUTORIA,LÍNGUA DE PUBLICAÇÃO,TRADUTOR(A),LOCALIZAÇÃO DA AUTORIA (país),TÍTULO,PALAVRAS-         CHAVE,PLANILHA CITAÇÕES E REFS
2008,30,"Artigo Dossiê ""Gênero e Islã""",Mohamed Dahmane,ES,x,Marrocos,"La mujer en la sociedad
Nomada del Sur de Marruecos:
enfoque etnográfico","Relaciones de Género, Sociedad Musulmana,
Sociedad Nomada, Sáhara",
2008,30,"Artigo Dossiê ""Gênero e Islã""",Nadia Erzijni,EN>PT,Silvana Ruffier Scarinci,Marrocos,"Amina Bin Qarrish de Tetuan:
registros da vida de uma mulher marroquina do
século XIX","Amina Bin Qarrish, Mulheres Marroquinas,
Herança, Século XIX",
2008,30,"Artigo Dossiê ""Gênero e Islã""",Fatima Harrak,EN>PT,Silvana Ruffier Scarinci,Marrocos,"A Salafiya marroquina e a questão
feminina:
leitura de l’Autocritique de Allal el-Fassi","Mulheres Marroquinas, Salafiya, Reformismo
Muçulmano",
2008,30,"Artigo Dossiê ""Gênero e Islã""",Moha Ennaji,EN>PT,Cecilia Holtermann,Marrocos,"Pregadoras murshidat
como agentes de mudança no Marrocos:
uma perspectiva comparativa","Pregadoras, Murshidat, Marrocos, Islamismo",
2008,30,"Artigo Dossiê ""Gênero e Islã""",Fatiha Benlabbah,ES,x,Marrocos,"Islam y derechos de la mujer
en Marruecos","Derechos de la Mujer, Marruecos, Islam",
2008,30,"Artigo Dossiê ""Gênero e Islã""",Aïcha El Hajjami,FR>PT,Silvana Ruffier Scarinci,Marrocos,"A condição das mulheres no Islã:
a questão da igualdade","Mulheres, Igualdade, Islã",
2008,30,"Artigo Dossiê ""Gênero e Islã""",Rachida Afilal,FR>PT,Silvana Ruffier Scarinci,Marrocos,"Do Moudawana ao Código da Família:
processos e conteúdos de uma reforma estratégica","Direitos das Mulheres, Código da Família,
Moudawana, Marrocos",
2008,30,Artigo Regular,Maria Cardeira da Silva,PT,x,Portugal,"As mulheres, os outros e as mulheres
dos outros:
feminismo, academia e Islão","Feminismo, Feminismo Islâmico, Antropologia,
Islão, Relações Internacionais, Direitos Humanos,
Marrocos",
2008,30,Artigo Regular,Mariane Venchi,PT,x,Brasil,"Seduções e traições de gênero no Islã:
a rainha de Sabá e o corpo feminino circuncidado","Literatura Árabe-Islâmica, Alegorias de Gênero e
Corporalidades, Circuncisão Feminina,
Historiografia Muçulmana",
2008,30,Artigo Regular,Flávia de Mattos Motta,PT,x,Brasil,"Curió Valente:
representações de gênero em competições
de pássaros canoros","Gênero, Masculinidade, Representações, Curió,
Luta",
2008,30,Artigo Regular,"Vera Helena Ferraz de Siqueira
Glória Walkyria de Fátima Rocha",PT,x,Brasil,"A construção de diferenças de gênero
entre estudantes de medicina","Cidadania, Gênero, Sexualidade,
Identidades, Educação Médica",
2008,30,Artigo Regular,Josefina Leonor Brown,ES,x,Argentina,"Los derechos (no)reproductivos
en Argentina:
encrucijadas teóricas y políticas","Derechos (no)reproductivos, Ciudadanía,
Anticoncepción y Aborto, Cuerpo y
Sexualidades, Público y Privado",
2008,30,Artigo Regular,Cristina Donza Cancela ,PT,x,Brasil,"Destino cor-de-rosa, tensão e escolhas:
os significados do casamento em uma capital
amazônica (Belém, 1870-1920)","Casamento, Família, Amazônia",
2008,30,Artigo Regular,Maria Cecília Barreto Amorim Pilla,PT,x,Brasil,"Labores, quitutes e panelas:
em busca do lar ideal","Contenção, Auto-governo, Administração do
Lar",
2008,30,Artigo Regular,Silvana Aparecida Mariano,PT,x,Brasil,"Modernidade e crítica da modernidade:
a Sociologia e alguns desafios feministas às
categorias de análise","Sociologia, Modernidade, Crítica da
Modernidade, Crítica Feminista",
2008,30,Artigo Regular,"Carlos Ziller Camenietzki
Rejane da Conceição Meirelles",PT,x,Brasil,"Frágeis damas e mulheres fortes:
a representação feminina na Restauração de
Portugal (1640-1668)"," Restauração de Portugal, Guerra contra Castela,
Mulheres Combatentes, Fidalgas e Patriotas",
2008,31,"Artigo Dossiê ""Gênero no Tráfico de Pessoas""",Adriana Piscitelli,PT,x,Brasil,"Entre as “máfias” e a “ajuda”:
a construção de conhecimento sobre
tráfico de pessoas","Tráfico de Pessoas, Crime, Direitos Humanos,
Gênero, Prostituição",
2008,31,"Artigo Dossiê ""Gênero no Tráfico de Pessoas""","Marcia Vasconcelos 
Andréa Bolzon",PT,x,Brasil,"Trabalho forçado, tráfico de pessoas
e gênero: algumas reflexões","Trabalho Forçado, Trabalho Escravo, Exploração
Sexual Comercial, Tráfico de Pessoas, Migração,
Contrabando de Migrantes",
2008,31,"Artigo Dossiê ""Gênero no Tráfico de Pessoas""",Ela Wiecko V. de Castilho,PT,x,Brasil,"A criminalização do tráfico de mulheres:
proteção das mulheres ou reforço da
violência de gênero?","Tráfico de Mulheres, Prostituição, Criminalização,
Discurso Judicial, Gênero",
2008,31,"Artigo Dossiê ""Gênero no Tráfico de Pessoas""",Marina Pereira Pires de Oliveira,PT,x,Brasil,"Sobre armadilhas e cascas de banana:
uma análise crítica da administração de Justiça em
temas associados aos Direitos Humanos","Direitos Humanos, Tráfico de Pessoas,
Prostituição, Justiça, Protocolo de Palermo",
2008,31,"Artigo Dossiê ""Gênero no Tráfico de Pessoas""",Thaís Dumêt Faria,PT,x,Brasil,"Mulheres no Tráfico de Pessoas:
vítimas e agressoras"," Mulher, Criminologia, Tráfico de Pessoas,
Estereótipos",
2008,31,"Artigo Dossiê ""Gênero no Tráfico de Pessoas""",Patrícia Trindade Maranhão Costa,PT,x,Brasil,"A construção da masculinidade e a
banalidade do mal:
outros aspectos do trabalho escravo
contemporâneo","Escravidão Contemporânea, Masculinidade,
Banalidade do Mal",
2008,31,"Artigo Dossiê ""Gênero no Tráfico de Pessoas""","Paulo Illes
Gabrielle Louise Soares Timóteo
Elaine da Silva Fiorucci",PT,x,Brasil,"Tráfico de Pessoas para fins de
exploração do trabalho na cidade de
São Paulo","Tráfico de Pessoas, Imigrantes, Gênero, Trabalho,
São Paulo",
2008,31,"Artigo Dossiê ""Gênero no Tráfico de Pessoas""",Gláucia de Oliveira Assis,PT,x,Brasil,"A fronteira México-Estados Unidos:
entre o sonho e o pesadelo − as experiências de
e/imigrantes em viagens não-autorizadas
no mundo global","Tráfico de Migrantes, Gênero, Emigrantes
Brasileiros, Fronteira México-Estados Unidos",
2008,31,"Artigo Dossiê ""Gênero no Tráfico de Pessoas""",Asbrad Associação,PT,x,Brasil,"Direitos Humanos e gênero no cenário
da migração e do tráfico internacional
de pessoas","Tráfico de Pessoas, Migração, Gênero, Mulheres",
2008,31,"Artigo Dossiê ""Gênero no Tráfico de Pessoas""",Flávia do Bonsucesso Teixeira,PT ,x,Brasil,"L’Italia dei Divieti:
entre o sonho de ser européia e o babado da
prostituição","Travestis, Migração, Prostituição,
Tráfico de Pessoas",
2008,31,Artigo Regular,Elizabeth Bernstein,EN>PT,Fernanda Leão,EUA,"O significado da compra:
desejo, demanda e o comércio do sexo","Prostituição, Masculinidade, Desejo,
Mercantilização, Intimidade, Trabalho Sexual,
Gentrificação",
2008,31,Artigo Regular,José Miguel Nieto Olivar,PT,x,Brasil,"A angústia dos corpos indóceis:
prostituição e conflito armado na Colômbia
contemporânea","Prostituição, Colômbia, Direitos Humanos",
2008,31,Artigo Regular,Eliane Robert Moraes,FR>PT,Eliane Robert Moraes,Brasil,"Topografia do Risco
O erotismo literário no Brasil contemporâneo","Erotismo, Literatura Brasileira, Erótica Literária,
Imaginário Sexual, Obscenidade",
2008,31,Artigo Regular,"Fúlvia Rosemberg
Leandro Feitosa Andrade",PT,x,Brasil,"Ação afirmativa no ensino superior
brasileiro:
a tensão entre raça/etnia e gênero","Ação Afirmativa, Ensino Superior, Educação e
Gênero, Educação e Raça",
2008,31,Artigo Regular,Ivana Guilherme Simili,PT,x,Brasil,"Educação e produção de moda na
Segunda Guerra Mundial:
as voluntárias da Legião Brasileira de Assistência","Educação, Moda, Voluntárias, Legião Brasileira
de Assistência, Segunda Guerra Mundial",
2008,31,Artigo Regular,"Luiz Augusto Campos
Luís Felipe Miguel",PT,x,Brasil,"O Oito de Março no Congresso:
representações da condição feminina
no discurso parlamentar","Discurso Parlamentar, Representação Política,
Gênero, 8 de Março",
2008,31,Artigo Regular,Gabriele dos Anjos,PT,x,Brasil,"Liderança de mulheres em pastorais
e comunidades católicas
e suas retribuições","Militância Feminina, Classes Populares,
Comunidades Católicas",
