ANO,Nº,TIPO,AUTORIA,LÍNGUA DE PUBLICAÇÃO,TRADUTOR(A),LOCALIZAÇÃO DA AUTORIA (país),TÍTULO,PALAVRAS-         CHAVE,PLANILHA CITAÇÕES E REFS
1998,11,Artigo regular,Maria Das Dores Campos Machado,PT,x,Brasil,"Conversão religiosa e a opção pela heterossexualidade em tempos de aids: notas de uma pesquisa","Comportamento    Sexual,    Conversão,    Pentecostalismo,HIV/AIDS,   Homossexualidade",CP_n11_1998_art3
1998,11,Artigo regular,Maria Angélica Guimarães Lopes,PT ,x,EUA,Anasbaco janelas da alma: olhar o amado e o olhar do amado em baco e as Anas brasileiras de Yeda Schmaltz,"Amor, Gênero, Literatura Brasileira.",CP_n11_1998_art4
1998,11,Artigo regular,Maria José Somerlate Barbosa,PT,x,EUA,"Chorar, verbo transitivo","Choro, masculinidade, virilidade, perfis masculinos",CP_n11_1998_art5
1998,11,Artigo regular,Joaquim Brasil Fontes,PT,x,Brasil,A figura do poder na fedra senequiana,"Sêneca, Fedra, Retórica, Poder",CP_n11_1998_art6
1998,11,Artigo regular,Eliana Magnani Soares Christen,PT,x,França,"Arras, dote e herança: a mulher aristocrata e o patrimônio familiar na Provença (final do século X - início do século XII)","Mulheres, Elites, Patrimônio, Herança",CP_n11_1998_art7
1998,11,Artigo regular,Nancy Rita Vieira Fontes,PT,x,Brasil,Uma narrativa testemunhal: as memórias de Anna Ribeiro,"Memórias, Literatura Brasileira, Imagens de mulheres",CP_n11_1998_art8
1999,12,"Artigo Dossiê ""Simone de Beauvoir""",Eleni Varikas,FR>PT,Cíntia Ávila de Carvalho,França,Do bom uso do mau gênero,x,CP_n12_1999_art1
1999,12,"Artigo Dossiê ""Simone de Beauvoir""",Sylvie Chaperon,FR>PT,Plinio Dentzien,França,Auê sobre o Segundo sexo,x,CP_n12_1999_art2
1999,12,"Artigo Dossiê ""Simone de Beauvoir""",Claudia Thereza Guimaraes de Lemos,PT,x,Brasil,De como uma moça bem comportada se torna Simone de Beauvoir,x,
1999,12,"Artigo Dossiê ""Simone de Beauvoir""",Marco Aurélio de A. Garcia,PT,x,Brasil,Simone de Beauvoir e a política,x,
1999,12,"Artigo Dossiê ""Simone de Beauvoir""",Maria Lygia Quartim de Moraes,PT,x,Brasil,Simone de Beauvoir e o amor americano (um tributo a Simone de Beauvoir),x,
1999,12,"Artigo Dossiê ""Simone de Beauvoir""",Maria Luiza Heilborn,PT,x,Brasil,Uma amizade apaixonada? um episódio na carreira amorosa de Simone de Beauvoir,x,
1999,12,"Artigo Dossiê ""Simone de Beauvoir""",Tania Navarro Swain,FR>PT,Tania Navarro Swain,Brasil,Feminismo e lesbianismo: a identidade em questão,x,
1999,12,"Artigo Dossiê ""Simone de Beauvoir""",Sandra Maria da Mata Azerêdo,PT,x,Brasil,"Notas sobre a “subversão da identidade”: em homenagem a Simone de Beauvoir, nos 50 anos d’O Segundo Sexo",x,
1999,12,"Artigo Dossiê ""Simone de Beauvoir""",Marlise Míriam de Matos Almeida,PT,x,Brasil,Simone de Beauvoir: uma luz em nosso caminho,x,
1999,12,"Artigo Dossiê ""Simone de Beauvoir""",Heleieth Iara Bongiovani Saffioti,PT,x,Brasil,Primórdios do conceito de gênero,x,
1999,12,Artigo regular,Teresa Maria da Conceição Joaquim,PT,x,Portugal,Criação de humanos e/ou de conceitos a questão da maternidade n’O Segundo Sexo,"Maternidade, Corpo, Abstracção, Criação",
1999,12,Artigo regular,Millie Thayer,EN>PT,Cíntia Ávila de Carvalho,EUA,Feminismos viajantes: da mulher/corpo à cidadania de gênero," Cidadania, Corpo, Feminismo, Gênero",
1999,12,Artigo regular,Sara Poggio,ES,x,EUA,Construcción de las identidades femeninas colectivas: mujeres blancas anglosajonas y mujeres de las minorias etnicas en los Estados Unidos,"Género, Raza, Femenismo, Política",
1999,12,Artigo regular,Leonora De Luca,PT,x,Brasil,O “feminismo possível” de Júlia Lopes de Almeida (1862-1934),"Feminismo, Literatura, Gênero",
1999,12,Artigo regular,Jeffrey Tobin,EN>PT,Plínio Dentzien,EUA,A performance da masculinidade portenha no churrasco,"Gênero, Performance, Masculinidade",
1999,12,Artigo regular,Mônica Raisa Schpun,PT,x,Itália,Entre feminino e masculino: a identidade política de  Carlota Pereira de Queiroz,"Literatura, Misoginia, Feminismo, Política.",
1999,12,Artigo regular,Norma Telles,PT,x,Brasil,Um palacete todo seu,"Délia, Gênero, Literatura Brasileira",
1999,13,"Artigo Dossiê ""Gênero em gerações""",Tamara K. Hareven,EN>PT,Plínio Dentzien,EUA,Novas imagens do envelhecimento  e a construção social do curso da vida,"Curso  da  Vida, Família, Gerações, Imagens  do  Envelhecimento",
1999,13,"Artigo Dossiê ""Gênero em gerações""",Myriam Moraes Lins de Barros e  Sara Nigri Goldman,PT,x,Brasil,"Bate-papo intergeracional na Internet.  Sexo, agressão e realidade virtual","Velhice, Rede Virtual, Sexualidade",
1999,13,"Artigo Dossiê ""Gênero em gerações""",Roberto Grün,PT,x,Brasil,Conflitos de geração e competição no mundo do trabalho,"Gerentes,  Conflito Geracional, Envelhecimento Social e Biológico
",
1999,13,"Artigo Dossiê ""Gênero em gerações""",Johannes Doll,PT,x,Brasil,Satisfação de vida  de homens e mulheres idosos  no Brasil e na Alemanha,"Satisfação de Vida, Estudos Transculturais, Saúde Subjetiva",
1999,13,"Artigo Dossiê ""Gênero em gerações""",Daniel Groisman,PT,x,Brasil,Duas abordagens aos asilos de velhos: da clínica Santa Genoveva à história da institucionalização da velhice," Asilos de Velhos,  História da Velhice, Gerontologia Crítica",
1999,13,"Artigo Dossiê ""Gênero em gerações""",Alda Britto da Motta,PT,x,Brasil,As dimensões de gênero e classe social na análise do envelhecimento,"Gênero, Geração, Envelhecimento, Classe Social, Articulação de Categorias",
1999,13,Artigo Regular,Moema de Rezende Vergara,PT,x,Brasil,A noção de excepcionalidade na história das mulheres:  o caso da geração de Flora Tristan,"História,  Feminismo, Socialismo, Geração Política",
1999,13,Artigo Regular,Norberto Osvaldo Ferreras,PT,x,Brasil,Carolina Muzilli ou a costureira que não deu o “mau passo”,"Partido   Socialista   Argentino,   Buenos   Aires,   Feminismo, História Social",
1999,13,Artigo Regular,Andréa Ferreira Delgado,PT,x,Brasil,"Memória, trabalho e identidade:  as doceiras da cidade de Goiás","Memória, Trabalho, Gênero, História Oral",
1999,13,Artigo Regular,Maria Lúcia Mott,PT,x,Brasil,Revendo a história da enfermagem em São Paulo (1890-1920),"História da Enfermagem, História de São Paulo, Gênero
",
2000,14,Artigo Regular,Henrietta L. Moore,EN>PT,Plínio Dentzien,Inglaterra,"Fantasias de poder e fantasias de identidade: gênero, raça e violência","Gênero,   Agência,   Subjetividade,   Raça,   Violência",
2000,14,Artigo Regular,Elizabeth Grosz,EN>PT,Cecilia Holtermann,EUA,Corpos reconfigurados,"Filosofia,  Corporalidade,  Gênero,  Teorias  Feministas",
2000,14,Artigo Regular,Marta E. Savigliano,PT,x,EUA,"Corpos noturnos, identidades embaçadas, projetos anômalos: seguindo os passos de Cortázar nas milongas de Buenos Aires","Tango, Etnografia, Gênero, Ficção Crítica",
2000,14,Artigo Regular,Miguel Vale de Almeida,PT,x,Portugal,Corpos marginais: notas etnográficas sobre páginas “de polícia” e páginas “de sociedade”," Corpo, Representação, Classificação, Classe, Raça, Género, Sexualidade, Mídia",
2000,14,Artigo Regular,Luiz Cláudio Duarte,PT,x,Brasil,Representações da virgindade,"Sedução, Judiciário, Virgindade, Cultura Popular, Estratégia",
2000,14,Artigo Regular,Elisiane Pasini,PT,x,Brasil,Limites simbólicos corporais na prostituição feminina,"Prostituição/Garotas de Programa, Gênero, Corpo, Sexualidade",
2000,14,Artigo Regular,Simone Miziara Frangella,PT,x,Brasil,Fragmentos de corpo e gênero entre meninos e meninas de rua,"Meninos/Meninas de Rua, Corpo, Gênero, Espaço Urbano, Nomadismo",
2000,14,Artigo Regular,Denise Bernuzzi de Sant'Anna,PT,x,Brasil,As infinitas descobertas do corpo,"Corporalidade, historicidade",
2000,14,Artigo Regular,Maria Lúcia Dal Farra,PT,x,Brasil,Seis mulheres em verso,"Poesia de Mulher, Recorrêcias Femininas, Literatura Portuguesa, Brasileira e Africana",
2000,14,Artigo Regular,Haquira Osakabe,PT,x,Brasil,Esse pudor excessivo... (gênero em notas sobre alguns poemas de  Álvaro Pinto Sobrinho),"Gênero, Poemas, Álvaro Pinto Sobrinho",
2000,15,"Artigo Dossiê ""Gênero na história das ciências""",Ilana Löwy,FR>PT,José Valter Arcanjo da Ponte,França,Universalidade da ciência e conhecimentos “situados”,"Gênero, Universalidade das Ciências, Conhecimentos Situados",
2000,15,"Artigo Dossiê ""Gênero na história das ciências""",Maria Teresa Citeli,PT,x,Brasil,Mulheres nas ciências: mapeando campos de estudo,"Gênero, Mulheres e Ciência, Estudos Sociais das Ciências",
2000,15,"Artigo Dossiê ""Gênero na história das ciências""",Eulalia Pérez Sedeño,ES,x,Espanha,"Institucionalización de la ciencia, valores epistémicos y contextuales:  un caso ejemplar","Género, Estudios de la Ciencia, Tecnologia,  Sociedad",
2000,15,"Artigo Dossiê ""Gênero na história das ciências""",Aurora Tovar Ramírez,ES,x,México,Ephemeris calculada al Meridiano de México para el año Del Señor de 1757.  Por Doña Maria Francisca Gonzaga de el Castillo,"Mulheres  Astrônomas,  Ciência  no  Século  XVIII, Biografia, México",
2000,15,"Artigo Dossiê ""Gênero na história das ciências""",Miriam Lifchitz Moreira Leite,PT,x,Brasil,Mulheres viajantes no século XIX,"Mulheres Viajantes, Livros de Viagens, Amadoras e Profissionais",
2000,15,"Artigo Dossiê ""Gênero na história das ciências""",John Dickenson,PT,x,Inglaterra,Marianne North: uma naturalista do século dezenove no Brasil?,"Gênero, Geografia Feminista, Arte Botânica, Viagens",
2000,15,"Artigo Dossiê ""Gênero na história das ciências""",Pamela Henson,EN>PT,José Valter Arcanjo da Ponte,EUA,"A Invasão da Arcádia: As cientistas no Campo na América Latina, 1900-1950","Gênero, Ciência, Sufragismo, Redes de Solidariedade",
2000,15,"Artigo Dossiê ""Gênero na história das ciências""",Elisabeth Juliska Rago,PT,x,Brasil,A ruptura do mundo masculino da medicina: médicas brasileiras no século XIX,"Mulheres    Médicas,    Campo    Masculino    da    Medicina, Relações de Gênero",
2000,15,"Artigo Dossiê ""Gênero na história das ciências""",Lewis Pyenson,EN>PT,José Valter Arcanjo da Ponte,EUA,"Eros e Isis, tal pai, tal filha","História da Ciência, Sexualidade, Biografia",
2000,15,Artigo Regular,José A. Bragança de Miranda,PT,x,Portugal,Corpo utópico,"Corpo, Utopia, Virtualidade, Esteticização",
2000,15,Artigo Regular,James N. Green,EN>PT,Raul Reis,EUA,"“Mais amor e mais tesão”: a construção de um movimento brasileiro de gays, lésbicas e travestis","Gays, Lésbicas, Travestis, Movimento  Homossexual, História",
2000,15,Artigo Regular,Martha Celia Ramírez,PT,x,Brasil,A propriedade do corpo. O lugar da diferença nos discursos de homens e mulheres acerca do aborto voluntário,"Gênero, Corpo, Aborto",
2001,16,"Artigo Dossiê ""Feminismo em questão, questões do feminismo""",Mariza Corrêa,PT,x,Brasil,"Do feminismo aos estudos de gênero no
Brasil: um exemplo pessoal",x,
2001,16,"Artigo Dossiê ""Feminismo em questão, questões do feminismo""",Cynthia A. Sarti,PT,x,Brasil,Feminismo e contexto: lições do caso brasileiro,x,
2001,16,"Artigo Dossiê ""Feminismo em questão, questões do feminismo""",Mary Garcia Castro,PT,x,Brasil,"Gênero e poder. Leituras transculturais –
quando o sertão é mar, mas o olhar
estranha, encalha em recifes",x,
2001,16,"Artigo Dossiê ""Feminismo em questão, questões do feminismo""",Maria José Rosado,PT,x,Brasil,O impacto do feminismo sobre o estudo das religiões,x,
2001,16,"Artigo Dossiê ""Feminismo em questão, questões do feminismo""",Mónica Tarducci,ES,x,Argentina,"Estudios feministas de religión:
una mirada muy parcial",x,
2001,16,"Artigo Dossiê ""Feminismo em questão, questões do feminismo""",Heleieth I.B. Saffioti,PT,x,Brasil,"Contribuições feministas para o estudo
da violência de gênero",x,
2001,16,"Artigo Dossiê ""Feminismo em questão, questões do feminismo""",Lucila Scavone,PT,x,Brasil,"A maternidade e o feminismo:
diálogo com as ciências sociais",x,
2001,16,Artigo Regular,Fúlvia Rosemberg,PT,x,Brasil,"Políticas educacionais e gênero:
um balanço dos anos 1990","Gênero, Política Educacional, Igualdade,
Feminismo",
2001,16,Artigo Regular,Maria Lúcia Mott,PT,x,Brasil,"Maternalismo, políticas públicas e
benemerência no Brasil
(1930-1945)","Maternalismo, Feminismo, Políticas Públicas,
Benemerência, Pérola Byington,
Cruzada Pró-Infância",
2001,16,Artigo Regular,Marko Monteiro,PT,x,Brasil,"Corpo e masculinidade na revista
VIP Exame","Masculinidade, Corpo, Revistas Masculinas,
Teoria Feminista, Reflexividade ",
2001,16,Artigo Regular,Jane Gallop,EN>PT,Plínio Dentzien,EUA,Além do falo," Gozo, Prazer, Falo, Pênis, Significante,
Psicanálise",
2002,17/18,Artigo Regular,Anne Fausto-Sterling,EN>PT,Plínio Dentzien,EUA,Dualismos em duelo,"Gênero, Raça, Biologia, Corpo",
2002,17/18,Artigo Regular,Cláudia Pereira Vianna,PT,x,Brasil,O sexo e o gênero da docência,"Sexo, Gênero, Magistério, Identidade Docente",
2002,17/18,Artigo Regular,Rosely Gomes Costa,PT,x,Brasil,"Sonho do passado versus plano para o
futuro:
gênero e representações acerca da esterilidade
e do desejo por filhos"," Paternidade, Masculinidade, Esterilidade, Gênero",
2002,17/18,"Artigo Dossiê ""Gênero no Trabalho""",Helena Hirata,PT,x,França,"Globalização e divisão sexual do
trabalho","Globalização, Gênero, Condições de Trabalho,
Direito Social, Movimentos Sociais",
2002,17/18,"Artigo Dossiê ""Gênero no Trabalho""","Cristina Bruschini e
Maria Rosa Lombardi",PT,x,Brasil,"Instruídas e trabalhadeiras
Trabalho feminino no final do século XX","Mulheres, Mercado de Trabalho, Educação, Ensino
Médio, Ensino Superior, Ocupações Profissionais,
Guetos Ocupacionais",
2002,17/18,"Artigo Dossiê ""Gênero no Trabalho""","Rosalba Todaro, Lorena Godoy e
Laís Abramo",ES,x,Chile,"Desempeño laboral de hombres y
mujeres: opinan los empresarios","Género, Trabajo, Imaginario Empresarial",
2002,17/18,"Artigo Dossiê ""Gênero no Trabalho""",Nadya Araújo Guimarães,PT,x,Brasil,"Os desafios da eqüidade:
reestruturação e desigualdades de
gênero e raça no Brasil","Desigualdades salariais, Racismo, Sexismo, Trabalho
Industrial",
